순번,키워드,표제어,설명,출처
379,차,최저가낙찰제,추정가격이 고시금액 미만인 물품입찰의 경우 예정가격 이하로서 최저가격으로 입찰한 자를 낙찰자로 결정하는 방법을 말한다.,민원질의응답집
380,차,추정가격,물품·공사·용역등의 조달계약을 체결함에 있어서 「국가를 당사자로 하는 계약에 관한 법률」에 의한 국제입찰 대상여부를 판단하는 기준등으로 삼기 위하여 예정가격이 결정되기 전에 산정된 가격을 말한다.,국계법 시행령 제2조
381,차,추정가액,특정물품등의 예정가격이 결정되기 전에 예산배정금액 및 예산산출기초자료등에 의하여 추산한 가액을 말한다.,특정물품조달특례규정 제2조
382,차,추정금액,공사에 있어서 「국가를 당사자로 하는 계약에 관한 법률 시행령」에 따른 추정가격에 「부가가치세법」에 따른 부가가치세와 관급재료로 공급될 부분의 가격을 합한 금액을 말한다.,국계법 시행규칙 제2조
383,차,취소공고,게시된 입찰공고를 취소하는 경우 취소공고가 게시되며 시스템 입찰공고 목록 상에 이전 입찰공고와 취소공고 모두 빨간색으로 표시된다.,정보화기획담당관
384,카,콜센터,"방위사업청은 고객지원 서비스를 위해 ARS 전화(1577-1118)를 운영하고 있으며, 국방전자조달시스템은 시스템 이용 안내를 위한 전용 콜센터를 별도로 운영하고 있다. 평일(근무일) 오전 9:00 ~ 오후 18:00까지 전문 콜센터 상담사를 통해 친절한 안내를 받을 수 있으며 시스템 상담을 원하는 분은 1577-1118 (1번)으로 연락하면 된다.",정보화기획담당관
385,타,통상품,군수품으로써 전비품 외의 것을 말한다.,군수품관리법 시행령 제1조의2
386,타,통합사업관리정보체계,"IPMS(Integrated Project Management System). 방위사업청 주 임무인 방위력개선사업 사업관리 및 계약관리 업무의 프로세스를 표준화하여 체계적으로 지원하는 핵심 시스템이다. 크게 사업관리(계획, 집행, 심의, 지원, 통제)와 계약관리(중앙조달 계획예산, 국내구매, 상업구매, FMS, 절충교역, 조달원, 회계) 분야가 통합된 형태로 구성되어 있으며 종합상황서비스와 대군/대민 협업 기능을 통해 방위사업 의사결정, 정보 공유 및 상호 소통에 기여한다.",정보화기획담당관
387,타,투찰,"입찰서를 제출하는 행위를 말하며, 국방전자조달시스템에서 투찰할 때는 지문보안토큰에 의한 지문인식 로그인을 해야 투찰이 가능하다. (부득이한 경우 지문인식 예외적용 신청은 가능)",정보화기획담당관
388,타,투찰가능금액,국외조달 역경매입찰에서 새로운 견적이 가능한 최대투찰금액을 말한다.,역경매입찰 특별유의서 제2조
389,타,특례조달계약,특정물품등의 조달을 위하여 체결한 계약(계약물품등의 조달에 부수하여 운송·하역·보험등의 용역의 제공을 수반하는 계약으로서 당해 용역의 가액이 당해 특정물품등의 가액을 초과하지 아니하는 것을 포함한다)으로서 그 추정가액이 기획재정부장관이 정하는 금액이상인 계약을 말한다.,특정물품조달특례규정 제2조
390,타,특별업무,용역계약에서 계약목적외의 목적을 위해 계약특수조건 등에 특별업무항목으로 기재되거나 계약담당공무원이 그 수행을 지시 또는 승인한 용역항목을 말한다.,계약예규 11. 제2조
391,타,특별회계,"일반회계와 구별하여 계리할 필요가 있을 때 법률로 설치하는 예산으로 특정한 사업을 운영할 때, 특정한 자금을 보유하여 운영할 때, 특정한 세입으로 특정한 세출에 충당코자 할 때 쓰이는 용어이다.",계약업무 CHECKPOINT
392,타,특정공사,총공사비 추정가격이 300억원 미만인 신규복합공종공사중 각 중앙관서의 장이 대안입찰 또는 일괄입찰로 집행함이 유리하다고 인정하는 공사를 말한다.,국계법 시행령 제79조
393,타,특정단체,"「국가를 당사자로 하는 계약에 관한 법률 시행령」에 따라 수의계약할 수 있는 자격을 갖춘 단체를 말하며 관련 법령에 따라 농공단지입주공장, 국가유공자자활용사촌, 전시동원업체, 특별법인, 사회복지법인, 상이단체, 장애인복지단체 등을 말한다.",특정단체 수의계약 업무처리지침 제2조
394,타,특정물품등,현금 및 유가증권을 제외한 물품과 프로그램중 기획재정부령이 정하는 것을 말한다.,특정물품조달특례규정 제2조
395,타,특정비목불확정계약,"계약을 체결하는 때에 계약금액을 구성하는 일부 비목의 원가를 확정하기 곤란하여, 원가확정이 가능한 비목만 확정하고 원가확정이 곤란한 일부 비목은 계약을 이행한 후에 확정하고자 하는 경우에 체결하는 계약",방위사업법 시행령 제61조
396,타,특정조달계약,국제입찰을 통하여 물품·공사 및 용역을 조달하기 위하여 체결하는 계약을 말한다.,계약업무처리훈령
397,파,판단번호,"조달판단번호. 조달판단에 따라 조달요구번호를 동일/유사품목 별로 묶어 부여한 번호를 말한다. 판단번호는 조달판단 이후 입찰공고, 계약에 이르기까지 해당 조달 건의 구분 기준이 된다. 방위사업청 중앙조달의 판단번호는 숫자 4자리(필요시 영문자 1자리 추가)로 구성되어 팀별/계약건별/담당별로 부여하므로 동일 팀내의 계약건끼리 판단번호가 겹치는 일은 없으나, 팀이 다른 경우 판단번호가 동일한 경우가 생길 수 있다. 부대조달(물품)의 판단번호는 숫자 5자리로 구성된다.",계약실무 편람
398,파,표준화,"Standardization. 군수품의 조달·관리 및 유지를 경제적·효율적으로 수행하기 위하여 표준을 설정하여, 이를 활용하는 조직적 행위와 기술적 요구사항을 결정하는 품목지정, 규격제정, 형상관리 등에 관한 제반활동을 말한다.",방위사업관리규정 별표
399,파,품목등록,"조달업체가 조달에 참여 가능한 물품의 종류를 등록하고 승인받는 일련의 절차를 말한다. 방위사업청 국방전자조달시스템과 조달청 나라장터는 각각 별도의 품목 체계를 사용하기 있기 때문에 나라장터에 등록한 품목과는 관계없이 국방전자조달시스템에 품목을 등록해서 승인을 받아야 하며, 특정 품목을 요구하는 입찰공고에 품목 승인이 되어 있지 않으면 입찰에 참여할 수 없다. 품목등록은 방위사업청 중앙조달 입찰 건만 해당되며, 부대조달 입찰 건은 해당되지 않는다. 품목등록현황을 확인하려면 국방전자조달시스템 - (좌측 하단)조달서비스 - 업체정보관리 - 국내업체관리 - 국내업체정보조회 - 내자정보를 조회하면 된다.","정보화기획담당관, 민원질의응답집"
400,파,품목등록 유효기간 제도,"2013년 12월부터 조달업체 품목등록 정보의 정확성과 최신성을 확보하기 위해 방위사업청 중앙조달 품목을 대상으로 도입된 제도로써 품목 등록일자로부터 3년의 유효기간을 설정하여 유효기간 만료 전에 품목갱신 재심사를 받게 하는 제도를 말한다. 유효기간 만료 전에 재심사를 받지 않은 품목에 대해서는 입찰에 참여할 수 없다. (단, 실제로 입찰참여제한은 제도 유예기간이 종료되는 2016.11.30까지 적용되지 않음)","고객지원센터, 정보화기획담당관"
401,파,품목명세서,"해당 품목에 대해 상세 정보를 담은 문서로 조달요구번호, 재고번호, 부품번호, 품명, 단위, 수량, 금액 등의 정보를 조회할 수 있다.",정보화기획담당관
402,파,품질보증,계약담당공무원이 요구한 조건에 부합하는지 여부를 확인하기 위하여 군수품의 품질을 검사하는 활동을 말한다.,물품제조구매계약특수조건표준(특정조달) 제2조
403,하,하도급,"도급받은 시설공사, 정보화사업, 용역 등 사업의 전부 또는 일부를 도급하기 위하여 수급인이 제3자와 체결하는 계약을 말하여, 하도급 받은 사업을 재하도급 하는 경우를 포함한다.",사업관리본부 내규
404,하,하자보수,소프트웨어사업에 있어 하자보수기간 중에 발견한 소프트웨어 또는 정보시스템 등의 결함 등을 수정하는 것을 말하며 계약상대자는 발주기관의 검사가 완료된 후 1년간 계약목적물의 하자에 대한 보수책임을 진다.,"계약예규 11. 제49조, 제58조"
405,하,하자처리,"하자품이 발생하였을 때 보고절차, 보고된 하자품의 기술조사와 분석, 군재산권 복구를 위한 요구 및 이행상태의 감독과 행정조치 등의 과정을 말한다.",기동화력계약팀 직무편람
406,하,하자품,"군수품의 치수, 재질, 성능, 및 시험방법에 대한 품질보증도가 기술자료에서 규정한 수치나 수준에 미달되어 계약조건을 충족하지 못하는 품목을 말한다.",기동화력계약팀 직무편람
407,하,한도액계약,BOA(Basic Ordering Agreement). 계약을 체결하는 때에 무기체계의 운용을 위한 주요장비의 수리부속품 및 정비를 효율적으로 확보하기 위하여 한도액을 설정하고 그 한도액내에서 수리부속품 및 정비를 일정기간 계약업체에 요구하고자 하는 경우에 체결하는 계약을 말한다.,방위사업법 시행령 제61조
408,하,현금,예산에서 현금은 장기계속계약 시 연부별 부기금액으로 이는 대형사업의 총사업비로 사업추진 시 IPT에서 연도별 예산을 부기하여 조달요구하며 이는 미확정된 예산이므로 당해 연도마다 국회의 승인을 받아 예산 확보하여 사업을 추진하게 된다.,계약업무 CHECKPOINT
409,하,현장설명,공사입찰에 있어서 그 공사의 성질·규모 등을 고려하여 실제 공사현장에서 입찰참가자의 적정한 시공을 위해 실시하며 추정가격이 300억원 이상인 공사의 경우에는 반드시 현장설명을 실시하여야 한다.,국계법 시행령 제14조의2
410,하,현장설명서,시설공사에서 현장설명시 교부하는 도서로서 시공에 필요한 현장상태 등에 관한 정보 또는 단가에 관한 설명서 등을 포함한 입찰가격 결정에 필요한 사항을 제공하는 도서를 말한다.,계약예규 9. 제2조
411,하,현재최저가격(마감전),국외조달 역경매입찰에서 입찰서 제출기간내에 제출된 입찰서 중 최저가격을 말한다.,역경매입찰 특별유의서 제2조
412,하,협력업체,계약상대자에게 원자재(소재 및 부재를 포함한다) 또는 중간재를 공급하거나 용역 등을 제공하는 다른 방산업체 등을 말한다.,방위산업에 관한 착수금 및 중도금 지급규칙 제 2조
413,하,협상대상자,협상적격자로서 협상순위에 따라 계약담당공무원과 제안서 내용을 대상으로 협상하는 자를 말한다.,계약예규 6. 제2조
414,하,협상에 의한 계약,"물품·용역계약에 있어서 계약이행의 전문성·기술성·긴급성, 공공시설물의 안전성 및 그 밖에 국가안보목적등의 이유로 필요하다고 인정되는 경우에 다수의 공급자들로부터 제안서를 제출받아 평가한 후 협상절차를 통하여 국가에 가장 유리하다고 인정되는 자와 체결하는 계약을 말한다.",국계법 시행령 제43조
415,하,협상적격자,제안서의 평가결과 협상에 의한 계약의 협상대상자가 될 수 있는 자격을 갖춘 자를 말한다.,계약예규 6. 제2조
416,하,혼잡금액,"금차 공사금액 중 시공 중인 전차공사와 시간적ㆍ공간적으로 중복되어 작업상 혼잡사유로 시공하는 금차 공사금액을 말하며, 시공 중복기간 내에 당해 구조물 시공에 필요한 재료비, 노무비, 산출경비, 제경비 등을 합한 완성공사비를 기준으로 계산한다.",계약업무처리훈령
417,하,확정채권,"전부확정채권과 부분확정채권을 말하며 계약상대자가 계약이행(급부행위)을 완료함으로써, 방위사업청으로부터 계약금액 전부에 대하여 청구할 권리가 발생한 채권을 전부확정채권이라 하고 계약이행(급부행위)을 분할할 수 있는 계약에 있어서, 방위사업청으로부터 분할이행된 부분에 해당하는 계약금액 일부에 대하여 청구할 권리가 발생한 채권을 부분 확정채권이라 한다.",방위사업관리규정 별표
418,하,회계연도,"국가의 세입,세출을 구분하기 위해 설정한 일정한 기간으로 회계연도는 매년 1월 1일에 시작하여 12월 31일에 종료한다.",국가재정법 제2조
419,하,획득,"군수품을 구매(임차 포함)하여 조달하거나 연구개발ㆍ생산(제조, 수리, 가공, 조립, 시험, 정비, 재생, 개량 또는 개조)하여 조달하는 것을 말한다.","방위사업법 제3조, 국방전력발전업무훈령 별표"
420,하,희망수량경쟁입찰,"일반경쟁입찰 중 다량의 물품을 제조,구매,매각할 경우에 그 수량의 범위 안에서 희망수량과 단가를 입찰하게 하는 입찰방법으로 1인의 능력으로 공급이 불가능하거나 수인의 공급자와 분할계약하는 것이 유리하다고 인정되는 경우 등에 사용한다.",국계법 시행규칙 제19조
