순번,키워드,표제어,설명,출처
79,가,국내조달원,"조달원 중 국내에 위치하여 군수품을 조달하는 업체를 말하며 크게 제조업체, 판매업체, 용역업체(국제계약운송업체, 거래은행, 하자검정업체, 연구개발용역업체 등)로 구분된다.",조달원 관리지침 제4조
80,가,국민신문고(전자민원창구),"정부에 대한 모든 민원, 국민제안, 정책토론 등을 신청할 수 있는 국민소통창구로 국민권익위원회에서 운영 중인 시스템이다. 전자민원 접수창구의 통합 요청에 따라 국방전자조달시스템 메인화면 - 전자민원창구 메뉴에서 접근이 가능하며 국방전자조달시스템에 민원 및 질의, 제안 등을 하고자 할 경우 국민신문고에 민원내용을 등록하면 해당 업무 담당자에 의한 답변을 받을 수 있다.",민원신청창구의 국민신문고로 프레임 통합을 위한 의견 요청
81,가,국방규격,"Korean Defense Specification. 군수품의 조달을 위하여 필요한 제품 및 용역에 대한 성능, 재료, 형상, 치수 등 기술적인 요구사항과 요구필요조건의 일치성 여부를 판단하기 위한 절차와 방법을 서술한 사항으로 규격서, 도면, QAR, 소프트웨어 기술문서 등으로 구성된다.",방위사업관리규정 별표
82,가,국방전자조달시스템,"국방획득전문기관인 방위사업청이 국방 분야 물품·용역·공사 조달업무를 위해 운영하는 체계로써 조달업체, 방위사업청 및 각 군 계약담당공무원이 인터넷 상에서 조달계획, 입찰공고, 전자입찰, 계약, 협상, 대금 지불, 전자문서유통 등 조달업무 전 과정을 처리하도록 지원하는 대민 시스템이다.",정보화기획담당관
83,가,국방전자조달시스템 관리규정,"국방전자조달시스템의 운영 및 관리에 대한 세부 절차와 방법을 규정한 방위사업청 훈령으로 '13.10.14에 최초 제정/시행되었다. 방위사업청과 국방부, 각 군부대에 해당되는 시스템 운영 규정이기 때문에 조달업체에 직접 영향을 끼치지는 않으나 시스템의 발전과 운영법, 불법투찰 방지, 콜센터 운영 등 더욱 투명하고 공정한 시스템 운영을 위해 마련된 규정이라 할 수 있다. 정보화기획담당관에서 담당한다.",정보화기획담당관
84,가,국방전자조달시스템 이용에 관한 약관,"방위사업청과 국방전자조달시스템을 이용하여 입찰의 참가나 계약의 체결 등 조달관련 업무를 수행하고자 하는 조달업체의 이용조건 및 절차, 권리·의무 등 필요한 사항을 명시한 방위사업청 예규이다. 주요 내용으로는 운영자와 조달업체의 역할과 책임, 시스템 장애, 전자거래문서 송수신 등이 있으며 회계제도담당관에서 담당한다.",정보화기획담당관
85,가,국방전자조달시스템 전자계약 사무처리지침,"국방전자조달시스템을 이용하여 계약업무를 전자적으로 처리할 때 필요한 사항을 명시한 방위사업청 예규이다. 주요 내용으로는 이용자 및 인증서 관리, 전자입찰, 전자수의계약, 전자계약 체결 및 이행 등이 있으며 회계제도담당관에서 담당한다.",정보화기획담당관
86,가,국방전자조달시스템 전자입찰 특별유의서,"국방전자조달시스템을 이용하여 물품, 공사 및 용역 등의 전자입찰에 참가하고자 하는 자가 특히 유의하여야 할 사항을 명시한 방위사업청 예규이다. 주요 내용으로는 국외조달 전자입찰 방법, 전자입찰 절차, 예정가격 결정, 입찰서 제출 등이 있으며 회계제도담당관에서 담당한다.",정보화기획담당관
87,가,국방통합원가시스템,"국방통합원가시스템은 이전 산정 위주의 원가업무 체계에서 드러난 여러 문제점(원가 부풀리기, 과다계상 등)을 해결하고자 검증 위주로 개편된 원가 업무를 지원하기 위해 새롭게 구축된 시스템으로 기존 국방전자조달시스템의 원가 체계에서 수행되어온 업무를 대체하여 별도의 특화 시스템으로 운영된다. - 서비스 개통 : '12.4.2 - 도메인 주소 : https://dics.d2b.go.kr (국방전자조달시스템 - 국방통합원가 메뉴) - 담당부서 : 계약관리본부 원가회계검증단",정보화기획담당관
88,가,국방표준바코드,"한국군이 군수품을 유통관리하는 과정에서 군수 전산업무 처리에 활용하기 위해 사용하는 바코드로서, 군수품식별코드, 검사및납품조서식별코드, 증빙서식별코드, 저장대식별코드를 표시하는데 사용한다.",국방표준바코드 운용지침서 별지
