,입찰명,발주기관,낙찰자(상호)
72299,"K200 기어,스퍼형 1종 구매",육군종합정비창,우진테크
72304,자주포 동력장치 부품류,지상공통전력운영계약팀,평화정밀
72305,60mm 박격포 부품류,지상공통전력운영계약팀,(주)경원R&D
72332,"구동장치부품류(제조,일반)",지상공통전력운영계약팀,평화정밀
72333,기동화력 부속유지용 부품류,지상공통전력운영계약팀,평화정밀
72407,K계열전차 포신 부품류(구매),지상공통전력운영계약팀,한성정공
72409,장갑차 부품,지상공통전력운영계약팀,삼호정밀
72502,"K200 링,베어링용,외부용 1종 구매",육군종합정비창,주안산업
72521,[무장장착장비 부품]시동모터 등 62종,공군군수사령부,주식회사 씨티원 충남
72668,자주포 포탑부품류,지상공통전력운영계약팀,우창기계 주식회사
72678,궤도장비부품류,지상공통전력운영계약팀,우주산업플랜트 주식회사
72679,자주포 유지용 일반부품류,지상공통전력운영계약팀,주식회사 엔에이치
72714,차량용품(배터리등 70품목) 구매,제9227부대,대형월드
72764,[패트리어트 작전차량 부품] 배터리블랙박스 등 15종,공군군수사령부,금강인터내셔날
72780,[시동용발전기 부품]주파수 제어기군 등 8종,공군군수사령부,주식회사 엠제이엠
72786,드론교육센터 교육용 드론 배터리 구매,제2군단,"춘천사랑종합유통,필립스A/S"
72849,K200 케이블조립체 등 5종 구매,육군종합정비창,DGI산업
72866,장갑차 부품류,지상공통전력운영계약팀,우창기계 주식회사
72918,24년 기관총 주야조준경 부품류(구매),지상공통전력운영계약팀,주식회사 엔미디어솔루션
73013,24-N-휴대용 금속탐지기 구매,국군재정관리단,에이스
73059,24년 의무장비(흡인기 야전용 배터리식) 구매,국군의무사령부,주식회사 한스피엠아이
73130,장갑차 부품(터빈부속),지상공통전력운영계약팀,창진ENG(주)
73160,제동장치 부품류,지상공통전력운영계약팀,건웅테크 주식회사
73226,"[KC-10 부품]제어장치,공기조화기용 구매",공군군수사령부,주식회사 엠제이엠
73228,"[(K)F-16 ADVR 부품]기억장치,비행기록기용 등 5종",공군군수사령부,주식회사 엠제이엠
73296,"볼트, 내부렌치형 등 50항목 구매(항공)",육군군수사령부,석산전자 주식회사
73366,[시동용 발전기 부품]제어장치 판넬 등 7종 제조,공군군수사령부,창진ENG(주)
73467,K9자주포 나사등17종 구매,육군종합정비창,삼강운수
73543,24년 격발장치부품류,지상공통전력운영계약팀,(주)경도
73549,"K200 너트,풀림방지식 등 24종 구매",육군종합정비창,에스케이(SK)산업
73551,"K200 나사,캡식,6각 머리형 등 16종 구매",육군종합정비창,현대정밀가스켓
73553,"K21 파이프,금속제 등 12종 구매",육군종합정비창,성도산업
73555,K1전차 코드조립체 등 4종 구매,육군종합정비창,도하테크
73556,K1전차 볼트 등 2종 구매,육군종합정비창,삼원볼트공업
73562,"기어조립체,감속기용(자주포류)",지상공통전력운영계약팀,주식회사 조은이엔지
73741,K1전차 베어링 등 14종 구매,육군종합정비창,주식회사 신창엠텍
73801,00부대 취사식당 관급자재(덤웨이터) 설치,제7군단,주식회사고려에레베이터
73894,[항공기급유차 부품] 노즐 구매,공군군수사령부,삼호상사
73923,K21 베어링 1종 구매,육군종합정비창,덕산베아링
73933,(기동) 볼트 등 7종 구매,육군종합정비창,에스엔더블유테크
74115,지게차 배터리 1대 구매,제8385부대,하늘상사
74302,[시동용 발전기 부품]배출구 등 19종,공군군수사령부,굿메이드
74439,00공장 크레인체계 개선 관급자재,육군종합정비창,미성엔지니어링
74493,"(긴급)코어 조립체,유체 냉각기용 등 39종",해군군수사령부,소망상사
74561,"(긴급)연결기 조립체,전기용 등 6종",해군군수사령부,해리넷
74574,105밀리 곡사포(2차) 관급자재(크레인),제17보병사단,프로엔지니어링
