0,대분류,중분류,소분류
00부대(6진) 민사반 물품 구매(3차),기타,기타,기타
00부대(6진) 민사반 물품 구매(4차),기타,기타,기타
쇠고기장조림 등 4종(연평도),기타,기타,기타
무배추김치(김장) 등 8종(연평도),급식·식품,식자재,식자재
단무지 등 53종(연평도),기타,기타,기타
쌀 햄버거빵 등 40종(연평도),급식·식품,식자재,식자재
이온음료 등 17종(연평도),급식·식품,식자재,식자재
콩나물 등 3종(연평도),기타,기타,기타
방사선필름 등 5종 구매,기타,기타,기타
종이걸레 등 2종 구매,피복·생활·사무,청소/환경,청소·위생
소시지 구매,기타,기타,기타
소시지 구매,기타,기타,기타
기능성팬티 등 9종 구매,공구·설비,공조/펌프,공조·펌프
차아염소산나트륨 등 5항목 구매(물자),기타,기타,기타
16년 장교후보생 증식 구매,기타,기타,기타
16년 장교후보생 증식 구매,기타,기타,기타
오일휀스 8항목 제조(물자),차량·기동,차량/부품,차량부품·소모
잔류염소측정시약 등 5항목 구매(물자),의료·의약·위생,의료장비/소모,의료장비·키트
멀티 누설탐지기 구매,기타,기타,기타
16년 대전병원 장비운영소모품(의료용가스) 구매,의료·의약·위생,의료장비/소모,의료장비·키트
토너구매( 연간 단가계약),IT·통신장비,PC/주변기기,PC·주변기기
휴대폰 카드형 보조배터리 2 000개,전력·전기전자,발전기/전원,발전기·UPS·충전
16-덕-1차 전산운영용품 구매,기타,기타,기타
포장박스 등 3종 제조구매,물류/포장,포장/운반자재,포장·운반자재
전기보온물통 등 12종 구매,기타,기타,기타
점화플러그 등 10항목 구매(물품),기타,기타,기타
점화플러그 등 10항목 구매(물품),기타,기타,기타
국방 빅데이터 플랫폼 기반 구축사업 리스,기타,기타,기타
16-F-007 이동형 탱크제조 납품,기타,기타,기타
16-F-007 이동형 탱크제조 납품,기타,기타,기타
디젤발전기 400KW 제조설치,전력·전기전자,발전기/전원,발전기·UPS·충전
리프레쉬플러스 점안액 등 270종,기타,기타,기타
16-F-011 트랙터 레커용 트럭 제조,차량·기동,차량/부품,차량부품·소모
샌드형 아이스크림 구매,기타,기타,기타
식혜 구매,기타,기타,기타
예비군 도시락,기타,기타,기타
컵형 아이스크림 구매,기타,기타,기타
콘형 아이스크림 구매,건설·시설,현장안전/표지,현장안전·표지
팩형 아이스크림 구매,기타,기타,기타
떠먹는발효유 구매,기타,기타,기타
견과류(혼합형) 구매,기타,기타,기타
크림빵 구매,급식·식품,식자재,식자재
단팥빵 구매(제조),급식·식품,식자재,식자재
피자빵 구매(제조),급식·식품,식자재,식자재
소보루빵 구매(제조),급식·식품,식자재,식자재
감자스낵 구매,기타,기타,기타
초코과자 구매,기타,기타,기타
샌드과자 구매,기타,기타,기타
초코바 구매,기타,기타,기타
초코렛 구매,기타,기타,기타
양갱 구매,기타,기타,기타
감자스낵 구매,기타,기타,기타
초코과자 구매,기타,기타,기타
생수 구매,급식·식품,식자재,식자재
초코렛 구매,기타,기타,기타
초코렛 구매,기타,기타,기타
초코바 구매,기타,기타,기타
핫바 구매(제조),기타,기타,기타
16년 설날 경축특식 구매(제조),기타,기타,기타
16년 설날 경축특식 구매(제조),기타,기타,기타
체력단련장 식자재 000종 구매,급식·식품,식자재,식자재
교과서 136종 구매,기타,기타,기타
난방용 LPG 납품(백령도),화학·소재,가스/냉매,가스·냉매
액화석유가스(LPG)구매,화학·소재,가스/냉매,가스·냉매
멸균 거즈 등 35품목 구매(의무),의료·의약·위생,의료장비/소모,의료장비·키트
멸균 거즈 등 35품목 구매(의무),의료·의약·위생,의료장비/소모,의료장비·키트
컨테이너 제작,건설·시설,현장안전/표지,현장안전·표지
파이류,기타,기타,기타
콜라,기타,기타,기타
초콜렛,기타,기타,기타
초코바,기타,기타,기타
이온음료,급식·식품,식자재,식자재
스낵류,기타,기타,기타
미니약과,기타,기타,기타
생수,급식·식품,식자재,식자재
소보루빵,급식·식품,식자재,식자재
후식류 식혜 구매,기타,기타,기타
후식류 이온음료 구매,급식·식품,식자재,식자재
후식류 쌀음료 구매,급식·식품,식자재,식자재
16-F-010열화상 비파괴검사 장비 구매,IT·통신장비,CCTV/출입통제,영상감시·출입
후식류 콘형 아이스크림 구매,건설·시설,현장안전/표지,현장안전·표지
후식류 샌드형 아이스크림 구매,기타,기타,기타
후식류 팥빙수 아이스크림 구매,기타,기타,기타
증식용 떡 및 생일자 케익크 제조납품,기타,기타,기타
후식류 팩형 아이스크림 구매,기타,기타,기타
후식류 튜브형 아이스크림 구매,기타,기타,기타
후식류 떠먹는 발효유 구매,기타,기타,기타
후식류 견과류 세트 구매,기타,기타,기타
후식류 과일푸딩 구매,기타,기타,기타
떡류 등 18종 제조/납품,기타,기타,기타
16-K-액화석유가스(LPG),화학·소재,가스/냉매,가스·냉매
경축특식 만쥬 세트 구매,기타,기타,기타
경축특식 빵세트 구매,급식·식품,식자재,식자재
후식류 마시는 발효유 구매,기타,기타,기타
슈크림빵 등 9종 구매,급식·식품,식자재,식자재
K1전차 스프링등11종구매,기타,기타,기타
16-F-012 열화상카메라 구매,IT·통신장비,CCTV/출입통제,영상감시·출입
체력단련장 락카 소모품 구매,화학·소재,도료/접착,도료·접착
에이스가든 식자재(생가지외 365품목),급식·식품,식자재,식자재
K1리드선등14종구매,기타,기타,기타
금속제 정류기 구매,전력·전기전자,발전기/전원,발전기·UPS·충전
k1오링등17종구매,기타,기타,기타
주파수 변환기 구매,공구·설비,공조/펌프,공조·펌프
M48전차 나사등32종구매,기타,기타,기타
M48전차 베어링등11종구매,기타,기타,기타
K55A1개스킷등3종구매,기타,기타,기타
K55A1개스킷등3종구매,기타,기타,기타
K55A1베어링등9종구매,기타,기타,기타
K55A1너트등37종구매,건설·시설,자재/철물,자재·철물
K9오링등59종구매,기타,기타,기타
K9스프링등8종구매,기타,기타,기타
K9나사등76종구매,기타,기타,기타
K9밸브등19종구매,건설·시설,자재/철물,자재·철물
K9밸브등19종구매,건설·시설,자재/철물,자재·철물
리본부교 봉합재등42종구매,기타,기타,기타
5톤 볼트등217종구매,건설·시설,자재/철물,자재·철물
5톤브래킷등64종구매,기타,기타,기타
2 1/2톤 니플등62종구매,기타,기타,기타
무선감청장비 축전기등178종구매,기타,기타,기타
설날 경축특식 냉동떡 세트,기타,기타,기타
설날 경축특식 냉동떡 세트,기타,기타,기타
00학교 생도증식 구매,기타,기타,기타
열상장비 스페이서등11종구매,기타,기타,기타
대박격포레이더 반도체장치등4종구매,기타,기타,기타
발칸필터구매,차량·기동,차량/부품,차량부품·소모
발칸와셔총류등121종구매,기타,기타,기타
(육성) 사단 테블릿PC 구매,기타,기타,기타
두부,기타,기타,기타
순두부,기타,기타,기타
파인애플,기타,기타,기타
견과류(한줌),기타,기타,기타
콩두유,기타,기타,기타
과일푸딩,기타,기타,기타
과채음료,급식·식품,식자재,식자재
떠먹는 발효유,기타,기타,기타
마시는 발효유,기타,기타,기타
비타민음료,급식·식품,식자재,식자재
생수,급식·식품,식자재,식자재
선봉대체력단련장 유류구매(하이신유),차량·기동,연료/윤활,연료·윤활유
식혜,기타,기타,기타
아이스크림 샌드형,기타,기타,기타
아이스크림 컵형,기타,기타,기타
아이스크림 콘형,건설·시설,현장안전/표지,현장안전·표지
아이스크림 팩형,기타,기타,기타
에이드,기타,기타,기타
이온음료,급식·식품,식자재,식자재
커피음료,급식·식품,식자재,식자재
탄산음료,급식·식품,식자재,식자재
팥빙수,기타,기타,기타
발칸 베어링등15종구매,기타,기타,기타
발칸 기어등14종구매,기타,기타,기타
발칸 베이스조립체등7종구매,기타,기타,기타
도시락,기타,기타,기타
도시락,기타,기타,기타
도시락,기타,기타,기타
발칸 장치대등6종구매,기타,기타,기타
알루미늄 합금판 등 11품목,기타,기타,기타
가지 등 163종,기타,기타,기타
돈삼겹(국내산) 등 10종,기타,기타,기타
16년 설 경축특식 떡세트(제조 또는 구매),기타,기타,기타
16년 환자치료식(함평병원),기타,기타,기타
16년 환자치료식(부산병원),기타,기타,기타
16년 환자치료식(고양병원),기타,기타,기타
16년 환자치료식(양주병원),기타,기타,기타
16년 환자치료식(일동병원),기타,기타,기타
16년 환자치료식(청평병원),기타,기타,기타
16년 환자치료식(홍천병원),기타,기타,기타
16년 환자치료식(홍천병원),기타,기타,기타
