word,freq,대분류,중분류,소분류
디젤엔진,89,차량·기동,연료/윤활,연료/윤활유
양산,89,기타,기타,기타
건설,89,기타,기타,기타
기념,89,기타,기타,기타
브리핑,89,기타,기타,기타
실험,89,기타,기타,기타
차륜,89,기타,기타,기타
벨트,89,피복·생활·사무,피복/보급,군장/피복
계기,88,기타,기타,기타
학습,88,기타,기타,기타
동력,88,기타,기타,기타
시약,88,의료·의약·위생,의료소모/장비,의료장비/키트
사격장,88,기타,기타,기타
어댑터,88,IT·통신,PC/주변기기,PC/노트북
디스크,88,기타,기타,기타
폐수처리,88,기타,기타,기타
상황,87,기타,기타,기타
유도탄,87,기타,기타,기타
통신체,87,IT·통신,무선/통신장비,무전기/위성
뜨다,87,기타,기타,기타
정수,87,기타,기타,기타
렌치,87,공구·설비,일반공구,수공구/전동공구
선체,87,기타,기타,기타
튀김,87,기타,기타,기타
연습,87,기타,기타,기타
시경,86,기타,기타,기타
전장,86,기타,기타,기타
집적회로,86,기타,기타,기타
감자,86,기타,기타,기타
창호,86,기타,기타,기타
정복,86,기타,기타,기타
군수,86,기타,기타,기타
서버,86,IT·통신,서버/스토리지,서버
테이,86,기타,기타,기타
청소용역,85,피복·생활·사무,청소/환경,청소/위생
의자,85,기타,기타,기타
어묵,84,기타,기타,기타
수집,84,기타,기타,기타
보험,84,기타,기타,기타
커버,84,기타,기타,기타
비금속,84,기타,기타,기타
업무,84,기타,기타,기타
유도,84,기타,기타,기타
계전기,84,기타,기타,기타
가공품,84,기타,기타,기타
운송,84,기타,기타,기타
활주로,83,기타,기타,기타
먼트,83,기타,기타,기타
사령부,83,기타,기타,기타
전투복,83,피복·생활·사무,피복/보급,군장/피복
송신기,83,기타,기타,기타
밉다,83,기타,기타,기타
백령도,82,기타,기타,기타
인조잔디,82,기타,기타,기타
호미,82,기타,기타,기타
알루미늄,82,기타,기타,기타
모듈,82,전력·전기전자,전자부품,센서/모듈
수신기,82,기타,기타,기타
닭다리,82,기타,기타,기타
구류,82,기타,기타,기타
코스,81,기타,기타,기타
재생,81,기타,기타,기타
교과서,81,기타,기타,기타
전파,81,기타,기타,기타
헬멧,81,기타,기타,기타
주년,81,기타,기타,기타
기상관측,80,기타,기타,기타
리프트,80,기타,기타,기타
적외선,80,기타,기타,기타
방제,80,기타,기타,기타
실습,80,기타,기타,기타
원심,80,기타,기타,기타
오수,80,기타,기타,기타
폐수,80,기타,기타,기타
도용,80,기타,기타,기타
헤드,79,기타,기타,기타
조끼,79,기타,기타,기타
차단,79,기타,기타,기타
기타,79,기타,기타,기타
수시,79,기타,기타,기타
방탄복,79,기타,기타,기타
급유,79,기타,기타,기타
기금,79,기타,기타,기타
클러치,79,기타,기타,기타
육로,78,기타,기타,기타
제등,78,기타,기타,기타
수처리,77,기타,기타,기타
부분,77,기타,기타,기타
합성수지,77,화학·소재,도료/접착/고분자,도료/접착
포병,77,기타,기타,기타
패널,77,기타,기타,기타
케익,77,기타,기타,기타
세탁기,77,기타,기타,기타
견인,77,기타,기타,기타
잉크,77,IT·통신,PC/주변기기,PC/노트북
