,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,4종_Pick,4종_Remove
112,"(긴급) 밸브, 앵글형 등 12종 구매",SCF,해군군수사령부,앵글,,밸브,
113,"경계시설 보강물품 구매(윤형철조망, 침투저지봉)",LKD,제32보병사단,물품,,철조망,
114,연서훈련장 안보교육관 자산취득비(LED전광판),LKD,제32보병사단,교육,,LED,
115,00부대 사이버전산장비 유지보수,NIT,국방부조사본부,"유지보수, 전산",,보수,
116,실린더 버터플라이 밸브 56종,HCF,공군군수사령부,실린더,,밸브,
117,00보급단 파렛트 표준저장랙 제조,LCF,육군군수사령부,파렛트,,저장랙,
118,20-62-건축용 앵글 등 29종 구매,SDQ,해군제2수리창,앵글,,건축,
119,OO부대 체육관 객석 제조설치(20-2500-14-9),LNG,육군 제1군단,체육,,제조설치,
120,OO부대 체육관 우레탄판넬 구매(2500-14-10),LNG,육군 제1군단,체육,,판넬,
121,20-전장망 부두 네트워크 장비(L3스위치 등 6종) 구매,UMM,국군재정관리단,네트워크,,스위치,
122,시설관리물품(실리콘 등 65종) 구매,UAC,국방출판지원단,물품,,실리콘,
123,개별스위치 멀티탭 등 47종,SCH,해군작전사령부,멀티탭,,스위치,
124,00부대 네트워크(통합배선) 제조설치(20-120),LCK,수도방위사령부,네트워크,,제조설치,
125,20년 시설공사(취사식당) 자산취득 물품 구매(2차),LKT,제1989부대,물품,,공사,
126,"청소기,배관용,공기압력식 등 61항목 구매(일장)",LCF,육군군수사령부,청소기,,배관,
127,앵글체크밸브 등 9종,SCF,해군군수사령부,앵글,,"밸브, 체크밸브",
128,20년 시설공사(취사식당) 자산취득 물품 구매,LKT,제1989부대,물품,,공사,
129,실린더 버터플라이 밸브 등 54종,HCF,공군군수사령부,실린더,,밸브,
130,천막보수용 테이프 등 99종 구매,SFM,제3170부대,"천막, 테이프",,보수,
131,앵글밸브 등 15품목 구매,SCF,해군군수사령부,앵글,,밸브,
132,콘크리트 믹서기 등 3종 구매,SCF,해군군수사령부,믹서기,,콘크리트,
133,K10제독차 인젝션펌프 등 15항목 구매(물자),LCF,육군군수사령부,제독,,펌프,
134,방수갑바(천막지) 등 47종 구매,SCP,제8385부대,천막,,방수,
135,20년 야전전투용앰프 600W 제조설치 납품,LCT,육군포병학교,전투용,,제조설치,
136,시설보수물품(실리콘 등 103종) 구매,UAC,국방출판지원단,물품,,"보수, 실리콘",
137,관사신축(홈네트워크) 제조 구매,LHG,제1862부대,네트워크,,신축,
138,"앵글, 건축용 등 5종 구매",SCF,해군군수사령부,앵글,,건축,
139,"앵글, 건축용 등 5종 구매",SCF,해군군수사령부,앵글,,건축,
140,"앵글, 건축용 등 5종 구매",SCF,해군군수사령부,앵글,,건축,
141,"앵글, 건축용 등 5종 구매",SCF,해군군수사령부,앵글,,건축,
142,00부대 병영생활관 에어컨 설치,LGR,제1288부대,에어컨,,생활관,
143,00대대 실내체육관 신축공사(자동제어),LKH,제6128부대,체육,,"공사, 신축",
144,21-해-부사관교육관 신축공사 관급자재(자동제어),UMM,국군재정관리단,교육,,"공사, 신축",
145,실내체육관 신축 관급자재(자동제어),LFH,육군부사관학교,체육,,신축,
146,실내체육관 신축 관급자재(원격검침),LFH,육군부사관학교,체육,,신축,
147,21-해-교육관 관급자재(무대장치) 제조설치,UMM,국군재정관리단,교육,,제조설치,
