개찰결과구분명,개찰시각,개찰일자,계약체결방법명,계약체결형태명,공고기관명,공고기관코드,기초금액,낙찰자결정방법명,낙찰하한율,수요기관명,수요기관코드,업무구분명,예정가격,입찰공고명,입찰공고번호,입찰공고차수,적격심사여부,최종낙찰금액,최종낙찰업체담당자명,최종낙찰업체대표자명,최종낙찰업체명,최종낙찰업체사업자등록번호,최종낙찰업체주소,최종낙찰율,최종낙찰일자,추정가격,분류
유찰,11:00,2016-07-08,수의계약,총액계약,방위사업청,1690000,65938000.00,적격심사제,,방위사업청,1690000,물품,,'16년 발칸용 아크릴,EGG0083,2,Y,,,,,,,,,0.0,국방부직할
유찰,11:00,2016-06-10,수의계약,총액계약,방위사업청,1690000,206768000.00,적격심사제,,방위사업청,1690000,물품,,'16년 발칸 게이지류,EGG0063,1,Y,,,,,,,,,0.0,국방부직할
유찰,11:00,2016-06-17,수의계약,총액계약,방위사업청,1690000,206768000.00,적격심사제,,방위사업청,1690000,물품,,'16년 발칸 게이지류,EGG0063,2,Y,,,,,,,,,0.0,국방부직할
개찰완료,10:30,2016-03-31,제한경쟁,총액계약,제3283부대,ZD00157,19936893.00,최저가격제,0.000,제3283부대,ZD00157,물품,19772648.00,수색휘장 등 18품목 구매,SFL0044,1,N,12739700.00,김미숙,김미숙,대성산업,507-03-80317,대구광역시 달서구 당산로41길6-4 (감삼동),64.430,2016-03-31,0.0,육군
개찰완료,12:00,2016-03-31,일반경쟁,총액계약,육군공병학교,ZD00038,33120000.00,적격심사제,87.745,육군공병학교,ZD00038,용역,32649612.00,'16년 K-1 교량전차 시뮬레이터 유지보수,LFT0004,1,Y,28681000.00,고윤안,고윤안,주식회사 시스텍,643-87-00109,"경기도 안성시 대덕면 서동대로4726, 중앙대학교 생활과학관 609관 2층",87.844,2016-03-31,0.0,육군
개찰완료,11:00,2016-03-31,일반경쟁,총액계약,국방출판지원단,ZD00908,485584000.00,적격심사제,82.995,국방출판지원단,ZD00908,물품,476257162.00,Truepress Jet520 전용잉크(CMYK) 등 6종 구매,UAC0018,1,Y,435556000.00,엄용철,엄용철,인재플러스,119-20-24610,충청남도 당진시 틀모시로800 (송악읍),91.453,2016-03-31,0.0,국방부직할
유찰,11:00,2016-03-31,제한경쟁,총액계약,국군재정관리단,ZD00303,178000000.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,,16-F-003  압축기 유니트 제조 납품,UMM0166,1,Y,,,,,,,,,0.0,기타
개찰완료,11:00,2016-04-08,제한경쟁,총액계약,국군재정관리단,ZD00303,178000000.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,175124517.00,16-F-003  압축기 유니트 제조 납품,UMM0166,2,Y,154108000.00,김태원,김태원,주식회사 씨알테크,793-86-00111,"경기도 화성시 양감면 송말길8-7 , C동",87.999,2016-04-08,0.0,기타
개찰완료,11:00,2016-04-06,협상에의한계약(서류),총액계약,국방부(총무팀),1290000,,협상,,국방부(총무팀),1290000,용역,70587000.00,국방상호운용성 마스터플랜 연구,MCD0024,1,N,62000000.00,,전건욱,사단법인 안보경영연구원,120-82-07415,"서울특별시 강남구 언주로527, 10층 (역삼동)",87.834,2016-04-12,0.0,국방부직할
개찰완료,11:01,2016-05-11,일반경쟁,총액계약,방위사업청,1690000,403602000.00,적격심사제,,방위사업청,1690000,물품,407637981.00,확성기세트 부품,EGH0010,1,Y,350960000.00,전미점,김상도,광성전기(주),606-81-09360,부산광역시 사상구 대동로121-14 (학장동),86.096,2016-05-11,0.0,국방부직할
