,입찰공고명,공고기관명
831,고압공기압축기 및 베어링 슬리브형,방위사업청
832,고압공기압축기 및 베어링 슬리브형,방위사업청
840,판초우의,방위사업청
841,16-가방(침투보호의 용)제조,국군재정관리단
842,다단식선반(중) 등 3종,공군군수사령부
843,가스켓 등 15종,해군군수사령부
844,인화점 시험기 구매,공군군수사령부
845,유격자격휘장(포제) 등 4종,제9227부대
846,전산운영용품 구매,국군대전병원
849,나일론로프 등 3종,제9227부대
850,나일론로프 등 3종,제9227부대
852,식관,방위사업청
853,작전영상전송장비(KAISHOT) 유지보수 정비,해군군수사령부
854,플러그 등 25종,해군군수사령부
855,특수작전식량,방위사업청
860,인쇄용지 21종 구매,국군재정관리단
864,야외화장실(이동식  2동) 구매,국방부
865,유동점시험기 구매,국방부
866,함정용 축,방위사업청
867,화포부품류,방위사업청
868,구형화포부품류,방위사업청
869,송수화기(H-930K),방위사업청
870,송수화기(H-930K),방위사업청
871,가죽요대 등 2종,공군군수사령부
872,하이힐(백색),해군군수사령부
873,방음화,해군군수사령부
874,남군백단화,해군군수사령부
875,여군백단화,해군군수사령부
876,하이힐(백색),해군군수사령부
877,방음화,해군군수사령부
878,남군백단화,해군군수사령부
879,여군백단화,해군군수사령부
880,안테나조립체(AS-992K) 및 부품,방위사업청
881,항공기 유도차 제조,국군재정관리단
882,상온형 노면표지용 도료 등 3종,제20전투비행단
883,특전복,방위사업청
884,00 0000 분석체계 구축,국군재정관리단
885,제어장치조립체 및 축 조립체류,방위사업청
886,제어장치조립체 및 축 조립체류,방위사업청
887,인쇄판(C.T.P) 및 현상약품 연간 구매,국군재정관리단
888,밸브류,방위사업청
889,16년 발칸 사격통제부부품(구매),방위사업청
890,항공유 펌프 3세트 구매,국군재정관리단
891,OO함 함안정기 제어반 정비,해군군수사령부
892,00함 지원장비(2종) 정비,해군군수사령부
893,00함 지원장비(2종) 정비,해군군수사령부
895,16년 오리콘 사격통제장치 부품류 (제조),방위사업청
896,체력단련장(골프장) 잔디 구매설치,국군재정관리단
897,궤도부품류(구매),방위사업청
898,16년 해병대 지휘소 비디오월 교체사업(리스물건),국군재정관리단
899,공수훈련지상장비,방위사업청
900,브레이크 슈 세트 등 2항목 제조(기장),육군군수사령부
901,베어링 클러치 릴리이스용 등 16항목 구매(기장),육군군수사령부
902,연결기 조립체 전기용 등 46항목 제조(기장),육군군수사령부
903,호스 비금속제 등 60항목 구매(기장),육군군수사령부
904,호스 조립체 비금속제 등 53항목 제조(기장),육군군수사령부
905,알루미늄 접이식 원형탁자 등 3종,제5738부대
906,보온식관,방위사업청
907,보온식관,방위사업청
908,301캇타 등 183종,해군제2수리창
909,폭발물처리차 제조,국군재정관리단
910,라벨테이프 등 149품목 구매,제3283부대
912,고정카메라 등 10품목 구매,제3283부대
913,그린가드후드작업복 등 27종,해군제2수리창
914,전산운영용품 구매,국군재정관리단
