,입찰명,발주기관
39548,20-2차 조미료(떡볶이 분말 등 18종) 구매,국방부계룡대근무지원단
39551,20년 경축특식 제헌절(훈제닭다리),육군제7789부대
39562,20년 경축특식 제헌절(훈제닭다리),육군제7789부대
39842,불닭마요덮밥 등 28종,해군 기동함대사령부
39887,"'20년 영내자증식(떡,케이크) 제조/구매",제7보병사단
40574,"볼트, 리브어깨형",지상공통전력운영계약팀
40687,"20년 영내자 증식 제조납품(떡, 케이크)(R)",제8기동사단
40703,야채건빵,급식유류계약팀
40704,야채건빵,급식유류계약팀
40705,야채건빵,급식유류계약팀
40706,야채건빵,급식유류계약팀
40708,참깨건빵,급식유류계약팀
40709,참깨건빵,급식유류계약팀
40710,참깨건빵,급식유류계약팀
40711,참깨건빵,급식유류계약팀
40712,건빵,급식유류계약팀
40713,건빵,급식유류계약팀
40714,건빵,급식유류계약팀
40715,건빵,급식유류계약팀
40808,햄슬라이스,급식유류계약팀
40809,햄슬라이스,급식유류계약팀
40810,햄슬라이스,급식유류계약팀
40811,햄슬라이스,급식유류계약팀
40820,떡국떡,급식유류계약팀
40823,떡볶이떡,급식유류계약팀
40878,햄버거빵,급식유류계약팀
40880,핫도그빵,급식유류계약팀
40881,핫도그빵,급식유류계약팀
40882,핫도그빵,급식유류계약팀
40883,핫도그빵,급식유류계약팀
40884,햄버거빵,급식유류계약팀
40885,햄버거빵,급식유류계약팀
40886,햄버거빵,급식유류계약팀
40934,볶음참깨,급식유류계약팀
40985,생선묵(튀김),급식유류계약팀
40986,생선묵(튀김),급식유류계약팀
40987,생선묵(튀김),급식유류계약팀
40988,생선묵(튀김),급식유류계약팀
41110,생선묵(떡볶이용),급식유류계약팀
41111,생선묵(떡볶이용),급식유류계약팀
41112,생선묵(떡볶이용),급식유류계약팀
41113,생선묵(떡볶이용),급식유류계약팀
41166,햄,급식유류계약팀
41167,햄,급식유류계약팀
