,입찰공고명,공고기관명
6447,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,국군재정관리단
6450,00부대 합성수지제창 / 합성수지도어 제조설치,국군재정관리단
6453,누적페인트 제거용 파쇄날 구매,공군제19전투비행단
6484,00부대 관사 신축사업 통합배선반 제조설치,국군재정관리단
6487,00부대 관사 신축사업 승강기 제조설치,국군재정관리단
6488,강습대대 발진기지 토목자재구입,제7군단
6499,00부대 이글루 탄약고 제습기 제조설치(4),국군재정관리단
6514,112공병 생활관 개수 진공온수보일러 제조설치납품,제2군단
6515,112공병 병영생활관 개수 PW창호 제조납품,제2군단
6523,자동화 사격장비 제조설치,국군재정관리단
6554,00부대 간부숙소 신축 관급자재 콘크리트파일 제조,육군제8971부대
6559,00부대 등 12개소 보일러 설치납품,제28보병사단
6560,46 영산강소초 GOP 병영생활관,제1862부대
6562,물류창고 저장랙 제조설치,국군재정관리단
6581,00지역 감시용 CCTV제조설치,국군재정관리단
6586,성당 신축 AV방송설비 제조설치,제8기동사단
6589,00소초 풋살경기장 인조잔디 제조설치납품,제1보병사단
6622,탄약고용 컨테이너 제조설치납품,제1989부대
6646,00부대 창설사업 AV방송설비 제조설치,국군재정관리단
6655,아파트 싱크대 제조 설치납품,국방부근무지원단
6658,교도소 침대 생산자재(철재류) 제조납품 3차,국군재정관리단
6691,00부대 이그루탄약고 제습기 제조설치,국군재정관리단
6693,식탁 등 2종 제조설치,국군재정관리단
6698,00부대 이글루 탄약고 제습기 제조설치(3),국군재정관리단
6702,00학교이전 가구 제조설치,국군재정관리단
6723,00부대 침대생산자재 제조납품(목재류_3차),국방부조사본부
6784,보일러 등 88종,제9181부대
6829,00부대 이글루 탄약고 제습기 제조설치(2),국군재정관리단
6836,00지역  광 단국장비 제조설치,국군재정관리단
6900,16-본-공-3 객실관리 시스템 제조설치,국군재정관리단
6901,16-본-공-3 합성수지제문 제조설치,국군재정관리단
6911,00부대 이전사업 합성수지도어 제조설치,국군재정관리단
6933,00부대 이전사업 합성수지창호 제조설치,국군재정관리단
6939,아파트 보일러 구매 / 설치,제6335부대
6947,00부대 이글루 탄약고 제습기 제조설치(5),국군재정관리단
6963,00지역 가스보일러 철거 및 설치납품 (70세대),제5733부대
6984,13-본-국대-01 00학교 가구 및 비품 제조설치,국군재정관리단
6994,0부대 중대시설 분전반 제조설치(16-312),제2307부대
7152,항온항습기 제조설치 등 5건 리스,국군재정관리단
7153,항온항습기 제조설치 등 5건 리스,국군재정관리단
7176,00지역 아파트 리모델링 시설공사(가구),국군지휘통신사령부
7261,다목적체육관 관급자재(콘크리트파일),제5708부대
7281,000사업 병영생활관 통합배선반 제조설치,국군재정관리단
7282,000사업 병영생활관 합성수지제창호 제조,국군재정관리단
7299,3개소 취사장 대형냉장고 제조설치,수도기계화보병사단
7302,4개 개편부대 크레인 제조설치 납품,수도기계화보병사단
7304,00부대 복지회관 신축 변압기 제조설치,특수전사령부
7314,4개 개편부대 자동제어반 제조설치납품,수도기계화보병사단
7332,군관사 및 독신숙소 LED등기구 구매,제6619부대
7334,00부대 창설사업 AV 제조설치(16-221),제2307부대
7335,00부대 창설사업 CCTV 제조설치(16-222),제2307부대
7336,00부대 창설사업 통합배선반 제조설치(16-223),제2307부대
7341,00부대 UAV중대시설 수배전반 제조설치,국군재정관리단
7354,다목적체육관 관급자재(AV설비) 제조설치,제5708부대
7355,다목적체육관 관급자재 무대장치 제조설치,제5708부대
7356,계룡대 체력단련장 보일러용 유류(하이신유) 구매,육군인사사령부
