입찰명
시멘트 등 3종
VGA Extender 등 64종
가스버너 등 24종 구매
TV 등 51종 구매
해안소초 독서카페 내부구성품 구매
신교대대 방송통신장비 설치납품
00병원 의무비품(옷장 등 9종) 제조
횡성역 유류공급시설 수배전반 제조 설치
횡성역 유류공급시설 CCTV 카메라 제조 설치
횡성역 유류공급시설 물탱크 제조 설치
16년 ICT기반 교실 구축사업 리스
수첩케이스 제작/구매
냉장고 등 9종
신호탄화약 2박스 등 12종
2016년 병리재료 42종 구매
2016년 치과재료 54종 구매
2016년 내향성발톱 교정재료 구매
2016년 의료재료 88종 구매
미확인 지뢰지대 통제용 안내간판 및 지뢰표지판 구매
7162부대 전술도로 가림막 자재구매
로타리 스위치 등 27종
열선 등 33종 구매
코팅기 등 2종 구매
EPSON 카트리지 등 38종
흡착포 등 10종
싱크대 제조 설치
"박판,금속제 등 15종"
면장갑 등 39종
디지털 인쇄재료 15종
식자재 000종 구매(단가계약)
영내 주요케이블 보강공사 자재구매
이동형 음원장비 소모품 5종 구매
어린이집 도서 구매(유아도서 711종)
"클락 스프링 등 27항목 구매(해파, 기장)"
16-8차 정보체계예산 구매
토너 및 전산운영용품 구입
16-14차 부대조달(상병건강검진시약) 구매
장관조립교 수리부속 구매(2016-2023)
"16-24차 의료기재, 일반의무장비 운영소모품 부대구매"
'17년 음식물폐기물 처리 용역
장비운영소모품(96차) 구매
차세대 학습관리 시스템 도입사업 리스
00지역 감시용 CCTV제조설치
00학교이전 비품 구매설치
샤워기호스 등 837종
안전화 등 132종
의료용 냉장고(응급 콜 시스템 구성품) 구매
17년 청소 및 위생용품 구매
파병물자(상용무전기 등 00종) 구매
파병부대 운동화 구매
방한장갑 구매
UV프린터 등 7종 구매
포토용지 등 72종 구매
원형 접착 보드롱 등 58종
제트스트림 볼펜 등 126종
중형굴삭기 부수기재(고정식크라샤) 구매
전산운영용품(랜선) 구매(16-통신-13)
리무버 등 219종
의료기재 등 26종
등기구 등 13종 구매
훈련장 피해복구 물품 16종 구매
차광막 등 99종 구매
정수위밸브 등 17종 구매
믹서기 등 9종 구매
청소기 등 6종 구매
16-292 콤보벤치 등 21종
족구화 등 14항목 구매(물자)
미확인 지뢰지대 통제간판 제조·설치 납품
"위임150,169차 자재납품"
탄약고 화재 기호판 구매
00대대 지휘통제실 화면전시체계 보강 설치납품
노트북용 SSD 등 15종 구매
방탄복 구매
강선용 압착뺀치 등 59종
16년 후반기 전산용품 구매
비디오 코덱 등 34종 구매
점보롤화장지 등 15종
사각 테이블 10개
베트남전투사발간
베트남전투사발간
볼펜 등 78종 구매
전자드럼 등 832종 구매
재생골재 등 97종 구매
16-해-격납고 주파수변환기 구매
DOWN CONVERTER 등 5종 구매
대변기스퍼트 등 77종 구매
그린용깃발 등 11종 구매
골뱅이통조림 600CN 구매
생수 등 15종 구매
멸균딸기우유 등 3종 구매
지지목 등 40종 구매
라리암 등 2종(예방약품)
의약품(네리소나연고 등 37종) 구매
16년 후반기 전산운영용품 추가 구매
냉난방기 설치납품(68대)
00부대 등 12개소 보일러 설치납품
경계용 가스고무탄총
디지털 매니폴드 게이지 등 62종 구매
